### channel=id33-transformer-recipe-repair seq=46
### host=login4
### started=2026-09-10T09:10:36+0800
### ---------- output ----------
=== STAMP ===
2026-09-10T09:10:36+0800
=== EPOCHWISE MEDIANS ===
###EPOCHS T1 results/33_transformer_recipe_repair/T1/transformer_recipe_repair_T1_2026_0909_1839_ep30
05501000,0.7076289653778076
05503800,0.8006479144096375
05507600,0.6837848424911499
05508805,0.7098633646965027
05525500,0.7836984395980835
05556500,0.6101135015487671
05584500,0.45917946100234985
05591550,0.6770652532577515
05592050,0.6288517713546753
05592575,0.578963577747345
05593575,0.8022791147232056
05593900,0.6027153730392456
05595730,0.8078233003616333
06221400,0.9187010526657104
06224000,0.837539792060852
06278300,0.6944271326065063
06280300,0.6965333223342896
06289000,0.6517190933227539
06291500,0.5703318119049072
06311000,0.6018272638320923
06332515,0.4369858503341675
06339100,0.2176142930984497
06344600,0.21544867753982544
06350000,-0.13409745693206787
06352000,0.023451924324035645
06404000,0.5422472953796387
06406000,0.14111900329589844
06409000,-2.7271461486816406
06431500,0.6261349320411682
06440200,0.49347585439682007
06447500,0.697472870349884
06470800,0.6504212617874146
06477500,-0.1824854612350464
06479215,0.37532883882522583
06601000,0.29097479581832886
06614800,0.7469932436943054
06622700,0.8269592523574829
06623800,0.8704594969749451
06632400,0.8445678949356079
06746095,0.6423624753952026
06803510,0.7074251174926758
06803530,0.6535059809684753
06814000,0.6430501341819763
06847900,0.013892531394958496
06853800,0.2320275902748108
06876700,0.5841902494430542
06878000,0.6864758729934692
06879650,0.2866119146347046
06885500,0.838054895401001
06888500,0.6962893605232239
06889200,0.7010470032691956
06889500,0.723884105682373
06892000,0.6929724812507629
06903400,0.6011848449707031
06906800,0.6039442420005798
06910800,0.8317407369613647
06911900,0.7477699518203735
06917000,0.7000826597213745
06918460,0.3310110569000244
06919500,0.751223087310791
06921070,0.6352242231369019
06921200,0.6362783908843994
07057500,0.8749115467071533
07060710,0.5510544776916504
07066000,0.8691877722740173
07083000,0.9069862961769104
07142300,0.4483705759048462
07145700,0.7633726596832275
07167500,0.7012002468109131
07180500,0.7847995758056641
07184000,0.5570752620697021
07195800,-0.3389918804168701
07196900,0.6410861015319824
07197000,0.8358736038208008
07208500,0.48464685678482056
07261000,0.898208737373352
07263295,0.5495041608810425
07291000,0.5305514931678772
