### channel=zhenjiang-oyv-qual seq=25
### host=login4
### started=2026-08-21T15:28:18+0800
### ---------- output ----------
=== A. IDENTITIES ===
1c4859cd7e20470251874005fb32fbc3d5aa1998ba1d408b9377d6f546c36d72  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/ladder_cost_summary.csv
71d769de46c3eb8b3c0a87f399810200f316c277334ebe7a011bad6afb653908  /data1/home/sunyiq/zhenjiang_oyv_v1/ladder_impact/station_ranking.csv
=== B. HEADER ===
measured_against,target,condition,horizon_hours,median_cost_m,minimum_cost_m,maximum_cost_m,median_relative_cost,positive_fold_years,fold_count
=== C. TARGET-GAUGE FAILURE COSTS, ALL REPORTED HORIZONS ===
hidden_target,jiangyin,hidden_target_both_nearest,12,0.010744014290463816,-0.01294178391107298,0.04154327273368835,0.012381131326979818,6,8
hidden_target,jiangyin,hidden_target_both_nearest,24,-0.02020988282881228,-0.026821026480852772,0.028950136832044115,-0.027171775298392296,1,8
hidden_target,zhenjiang,endpoints_only,1,0.03793686295594127,0.027505499240292976,0.04890336244921141,0.952843850571753,8,8
hidden_target,zhenjiang,endpoints_only,3,0.036862290726882095,0.027202543568801123,0.0507970055736595,0.8486323326360966,8,8
hidden_target,zhenjiang,endpoints_only,6,0.029769426605652606,0.021792017480339668,0.04137431497215308,0.5980830939673869,8,8
hidden_target,zhenjiang,endpoints_only,12,-0.02228067991389343,-0.03699943971675468,-0.004824172908205471,-0.05443016354142482,0,8
hidden_target,zhenjiang,endpoints_only,24,-0.00035007157727036387,-0.01417039489267663,0.0060261620566098295,-0.0002595831771124307,3,8
hidden_target,zhenjiang,hidden_target_both_nearest,1,0.02401303594112037,0.01290490454194522,0.037186610285334404,0.5479599739945651,8,8
hidden_target,zhenjiang,hidden_target_both_nearest,3,0.021783870546023584,0.011228957493798899,0.041323762093495885,0.498520700936968,8,8
hidden_target,zhenjiang,hidden_target_both_nearest,6,0.01794825540739753,0.008635896843190143,0.031866565639333225,0.3379634990816593,8,8
hidden_target,zhenjiang,hidden_target_both_nearest,12,-0.016851919093153894,-0.03135242815524372,-0.011583802805671228,-0.04259400525565185,0,8
hidden_target,zhenjiang,hidden_target_both_nearest,24,-0.013963567493458243,-0.02318119570657301,0.004523840699488801,-0.03255843856944711,1,8
=== F. PREREGISTERED ONE- AND SIX-HOUR RANKINGS ===
target,horizon_hours,rank,removed_station,condition,median_cost_m,median_relative_cost,minimum_cost_m,maximum_cost_m,positive_fold_years
zhenjiang,1,1,nanjing,hidden_target_minus_nanjing,0.004910516503189445,0.12207515012743783,-0.0021709862070455783,0.012232547009964866,7
zhenjiang,1,2,jiangyin,hidden_target_minus_jiangyin,0.0037973478512107438,0.08326071380223188,-0.0006181261981978575,0.014884121969745971,6
zhenjiang,1,3,datong,hidden_target_minus_datong,0.0013879095212302774,0.036963933359855164,-0.0032205229341287465,0.006671713597752094,6
zhenjiang,1,4,wusongkou,hidden_target_minus_wusongkou,0.0004980922001027472,0.011187763615783481,-0.00389537762743241,0.007275633647503606,5
zhenjiang,1,5,xuliujing,hidden_target_minus_xuliujing,0.0004548146298858913,0.008904998083111067,-0.0035078067228613598,0.0033807170843776248,5
zhenjiang,6,1,nanjing,hidden_target_minus_nanjing,0.0029086925941445886,0.0530194928496093,0.0005798234676846689,0.01211573360153878,8
zhenjiang,6,2,xuliujing,hidden_target_minus_xuliujing,0.002295755656995045,0.03904541866870946,-0.0008165923423897464,0.00569523020399321,7
zhenjiang,6,3,jiangyin,hidden_target_minus_jiangyin,0.0018252708028095761,0.037563693783546855,-0.005618985990683233,0.005176539114983617,5
zhenjiang,6,4,wusongkou,hidden_target_minus_wusongkou,0.0016803937248038511,0.036337257741993645,-0.004185477864263543,0.008253357450730334,7
zhenjiang,6,5,datong,hidden_target_minus_datong,0.000795574034311736,0.016470739700239934,-0.00372547681670031,0.0048762459219843235,7
jiangyin,1,1,xuliujing,hidden_target_minus_xuliujing,0.014834761900050102,0.39374954522768213,0.009951332345578968,0.02326555046319486,8
jiangyin,1,2,nanjing,hidden_target_minus_nanjing,0.0026374497149073773,0.0835776494907873,-0.0008804188307487623,0.0035796894189762084,7
jiangyin,1,3,zhenjiang,hidden_target_minus_zhenjiang,0.0024479744407124642,0.0786139250270669,-0.0007722449240337818,0.00936772637837804,7
jiangyin,1,4,datong,hidden_target_minus_datong,0.002018292676545073,0.05232443761183609,-0.0013696419156761282,0.007362115384627953,6
jiangyin,1,5,wusongkou,hidden_target_minus_wusongkou,-0.0005194017188914386,-0.01463858093419649,-0.003182843637344196,0.002669039014915022,3
jiangyin,6,1,wusongkou,hidden_target_minus_wusongkou,0.005408800539684013,0.08291659357000528,0.001903563109737147,0.009123288206310864,8
jiangyin,6,2,xuliujing,hidden_target_minus_xuliujing,0.00425033556627118,0.061997633781998976,-0.001631560620635443,0.00886539878986086,7
jiangyin,6,3,zhenjiang,hidden_target_minus_zhenjiang,0.0023144588129052693,0.029280420445162575,-0.000856501016899408,0.006673437503444877,6
